numero_leccion,titulo,url,descripcion,ejemplos_codigo,categoria
14,Assign Multiple Values,https://www.w3schools.com/python/python_variables_multiple.asp,"Python Variables -Assign Multiple Values
Many Values to Multiple Variables
Python allows you to assign values to multiple variables in one line:
Example
Note:Make sure the number of variables matches the number of values, or else you will get an error.","x, y, z = ""Orange"", ""Banana"", ""Cherry""print(x)print(y)print(z)
---
x = y = z = ""Orange""print(x)print(y)print(z)
---
fruits = [""apple"", ""banana"", ""cherry""]x, y, z = fruitsprint(x)print(y)print(z)",Python Básico
15,Output Variables,https://www.w3schools.com/python/python_variables_output.asp,"Python -Output Variables
Output Variables
Theprint()function is often used to output variables.
Example
In theprint()function, you output multiple 
variables, separated by a comma:","x = ""Python is awesome""print(x)
---
x = ""Python""y = ""is""z = ""awesome""print(x, y, z)
---
x = ""Python ""y = ""is ""z = ""awesome""print(x 
  + y + z)",Python Básico
16,Global Variables,https://www.w3schools.com/python/python_variables_global.asp,"Python -Global Variables
Global Variables
Variables that are created outside of a function (as in all of the examples 
in the previous pages) are known as global variables.
Global variables can be used by everyone, both inside of 
functions and outside.
Example","x = ""awesome""def myfunc():print(""Python is "" + x)myfunc()
---
x = ""awesome""def myfunc():x = ""fantastic""print(""Python is "" + x)myfunc()print(""Python is "" + x)
---
def myfunc():global xx = ""fantastic""myfunc()print(""Python is "" + x)",Python Básico
17,Variable Exercises,https://www.w3schools.com/python/python_variables_exercises.asp,"Python -Variable Exercises
Test Yourself With Exercises
Now you have learned a lot about variables, and how to use them in Python.
Are you ready for a test?
Test your Python Variables skills with exercises from all categories:",,Python Básico
18,Python Data Types,https://www.w3schools.com/python/python_datatypes.asp,"PythonData Types
Built-in Data Types
In programming, data type is an important concept.
Variables can store data of different types, and different types can do 
different things.
Python has the following data types built-in by default, in these categories:",x = 5print(type(x)),Python Básico
19,Python Numbers,https://www.w3schools.com/python/python_numbers.asp,"PythonNumbers
Python Numbers
There are three numeric types in Python:
Variables of numeric types are created when you assign a value to them:
Example","x = 1    
  # inty = 2.8  # floatz = 1j   # complex
---
print(type(x))print(type(y))print(type(z))
---
x = 1y = 35656222554887711z = 
  -3255522print(type(x))print(type(y))print(type(z))",Python Básico
20,Python Casting,https://www.w3schools.com/python/python_casting.asp,"PythonCasting
Specify a Variable Type
There may be times when you want to specify a type on to a variable. This can be done with casting. Python is an object-orientated language, and as such it uses classes to define data types, including its primitive types.
Casting in python is therefore done using constructor functions:
Example","x = int(1)   # x will be 1y = int(2.8) # y will be 2z = int(""3"") # z will be 3
---
x = float(1)     # x will be 1.0y = float(2.8)   # y will be 2.8z = float(""3"")   # z will be 3.0w = float(""4.2"") # w will be 4.2
---
x = str(""s1"") # x will be 's1'y = str(2)    # y will be '2'z = str(3.0)  # z will be '3.0'",Python Básico
21,Python Strings,https://www.w3schools.com/python/python_strings.asp,"PythonStrings
Strings
Strings in python are surrounded by either single quotation marks, or double quotation marks.
'hello'is the same as""hello"".
You can display a string literal with theprint()function:","print(""Hello"")print('Hello')
---
print(""It's alright"")print(""He is called 'Johnny'"")print('He is called ""Johnny""')
---
a = ""Hello""print(a)",Python Intermedio
22,Python Strings,https://www.w3schools.com/python/python_strings.asp,"PythonStrings
Strings
Strings in python are surrounded by either single quotation marks, or double quotation marks.
'hello'is the same as""hello"".
You can display a string literal with theprint()function:","print(""Hello"")print('Hello')
---
print(""It's alright"")print(""He is called 'Johnny'"")print('He is called ""Johnny""')
---
a = ""Hello""print(a)",Python Intermedio
23,Slicing Strings,https://www.w3schools.com/python/python_strings_slicing.asp,"Python -Slicing Strings
Slicing
You can return a range of characters by using the slice syntax.
Specify the start index and the end index, separated by a colon, to return a 
part of the string.
Example","b = ""Hello, World!""print(b[2:5])
---
b = ""Hello, World!""print(b[:5])
---
b = ""Hello, World!""print(b[2:])",Python Intermedio
24,Modify Strings,https://www.w3schools.com/python/python_strings_modify.asp,"Python -Modify Strings
Python has a set of built-in methods that you can use on strings.
Upper Case
Example
Theupper()method returns the string in upper case:","a = ""Hello, World!""print(a.upper())
---
a = ""Hello, World!""print(a.lower())
---
a = "" Hello, World! ""print(a.strip()) # returns ""Hello, World!""",Python Intermedio
25,Concatenate Strings,https://www.w3schools.com/python/python_strings_concatenate.asp,"Python -String Concatenation
String Concatenation
To concatenate, or combine, two strings you can use the + operator.
Example
Merge variableawith variablebinto variablec:","a = ""Hello""b = ""World""c = a + bprint(c)
---
a = ""Hello""b = ""World""c = a + "" "" + bprint(c)",Python Intermedio
26,Format Strings,https://www.w3schools.com/python/python_strings_format.asp,"Python -Format - Strings
String Format
As we learned in the Python Variables chapter, we cannot combine strings and numbers like this:
Example
But we can combine strings and numbers by usingf-stringsor theformat()method!","age = 36#This will produce an error:txt = ""My name is John, I am "" + ageprint(txt)
---
age = 36txt = f""My name is John, I am {age}""print(txt)
---
price = 59txt = f""The price is {price} dollars""print(txt)",Python Intermedio
27,Escape Characters,https://www.w3schools.com/python/python_strings_escape.asp,"Python -Escape Characters
Escape Character
To insert characters that are illegal in a string, use an escape character.
An escape character is a backslash\followed by the character you want to insert.
An example of an illegal character is a double quote inside a string that is surrounded by double quotes:","txt = ""We are the so-called ""Vikings"" from the north.""
---
txt = ""We are the so-called \""Vikings\"" from the north.""",Python Intermedio
28,String Methods,https://www.w3schools.com/python/python_strings_methods.asp,"Python -String Methods
String Methods
Python has a set of built-in methods that you can use on strings.
Note:All string methods return new values. They do not change the original string.",,Python Intermedio
29,String Exercises,https://www.w3schools.com/python/python_strings_exercises.asp,"Python -String Exercises
Test Yourself With Exercises
Now you have learned a lot about Strings, and how to use them in Python.
Are you ready for a test?
Exercises",,Python Intermedio
30,Python Booleans,https://www.w3schools.com/python/python_booleans.asp,"PythonBooleans
Booleans represent one of two values:TrueorFalse.
Boolean Values
In programming you often need to know if an expression isTrueorFalse.
You can evaluate any expression in Python, and get one of two 
answers,TrueorFalse.","print(10 > 9)print(10 == 9)print(10 < 9)
---
a = 200b = 33if b > a:print(""b is greater than a"")else:print(""b is not greater than a"")
---
print(bool(""Hello""))print(bool(15))",Python Intermedio
31,Python Operators,https://www.w3schools.com/python/python_operators.asp,"PythonOperators
Python Operators
Operators are used to perform operations on variables and values.
In the example below, we use the+operator to add together two values:
Example","print(10 + 5)
---
sum1 = 100 + 50      # 150 (100 + 50)sum2 = sum1 + 250    # 400 (150 + 250)sum3 = sum2 + sum2   # 800 (400 + 400)",Python Intermedio
32,Python Operators,https://www.w3schools.com/python/python_operators.asp,"PythonOperators
Python Operators
Operators are used to perform operations on variables and values.
In the example below, we use the+operator to add together two values:
Example","print(10 + 5)
---
sum1 = 100 + 50      # 150 (100 + 50)sum2 = sum1 + 250    # 400 (150 + 250)sum3 = sum2 + sum2   # 800 (400 + 400)",Python Intermedio
33,Arithmetic Operators,https://www.w3schools.com/python/python_operators_arithmetic.asp,"PythonArithmetic Operators
Arithmetic Operators
Arithmetic operators are used with numeric values to perform common mathematical operations:
Examples
Here is an example using different arithmetic operators:","x = 15y = 4print(x + y)print(x - y)print(x * y)print(x / y)print(x % y)print(x ** y)print(x // y)
---
x = 12y = 5print(x / y)
---
x = 12y = 5print(x // y)",Python Intermedio
34,Assignment Operators,https://www.w3schools.com/python/python_operators_assign.asp,"PythonAssignment Operators
Assignment Operators
Assignment operators are used to assign values to variables:
The Walrus Operator
Python 3.8 introduced the:=operator, known as the ""walrus operator"". It assigns values to variables as part of a larger expression:","numbers = [1, 2, 3, 4, 5]count = len(numbers)if count > 3:print(f""List has {count} elements"")if (count := len(numbers)) > 3:print(f""List has {count} elements"")",Python Intermedio
35,Comparison Operators,https://www.w3schools.com/python/python_operators_comparison.asp,"PythonComparison Operators
Comparison Operators
Comparison operators are used to compare two values:
Examples
Comparison operators returnTrueorFalsebased on the comparison:","x = 5y = 3print(x == y)print(x != y)print(x > y)print(x < y)print(x >= y)print(x <= y)
---
x = 5print(1 < x < 10)print(1 < x and x < 10)",Python Intermedio
36,Logical Operators,https://www.w3schools.com/python/python_operators_logical.asp,"PythonLogical Operators
Logical Operators
Logical operators are used to combine conditional statements:
Examples
Example","x = 5print(x > 0 and x < 10)
---
x = 5print(x < 5 or x > 10)
---
x = 5print(not(x > 3 and x < 10))",Python Intermedio
37,Identity Operators,https://www.w3schools.com/python/python_operators_identity.asp,"PythonIdentity Operators
Identity Operators
Identity operators are used to compare the objects, not if they are equal, but if they are actually the same object, with the same memory location:
Examples
Example","x = [""apple"", ""banana""]y = [""apple"", ""banana""]z = xprint(x is z)print(x is y)print(x == y)
---
x = [""apple"", ""banana""]y = [""apple"", ""banana""]print(x is not y)
---
x = [1, 2, 3]y = [1, 2, 3]print(x == y)print(x is y)",Python Intermedio
38,Membership Operators,https://www.w3schools.com/python/python_operators_membership.asp,"PythonMembership Operators
Membership Operators
Membership operators are used to test if a sequence is presented in an object:
Examples
Example","fruits = [""apple"", ""banana"", ""cherry""]print(""banana"" in fruits)
---
fruits = [""apple"", ""banana"", ""cherry""]print(""pineapple"" not in fruits)
---
text = ""Hello World""print(""H"" in text)print(""hello"" in text)print(""z"" not in text)",Python Intermedio
39,Bitwise Operators,https://www.w3schools.com/python/python_operators_bitwise.asp,"PythonBitwise Operators
Bitwise Operators
Bitwise operators are used to compare (binary) numbers:
Examples
Example","print(6 & 3)
---
print(6 | 3)
---
print(6 ^ 3)",Python Intermedio
40,Operator Precedence,https://www.w3schools.com/python/python_operators_precedence.asp,"PythonOperator Precedence
Operator Precedence
Operator precedence describes the order in which operations are performed.
Example
Parentheses has the highest precedence, meaning that expressions inside 
parentheses must be evaluated first:","print((6 + 3) - (6 + 3))
---
print(100 + 5 * 3)
---
print(5 + 4 - 7 + 3)",Python Intermedio
41,Python Lists,https://www.w3schools.com/python/python_lists.asp,"PythonLists
List
Lists are used to store multiple items in a single variable.
Lists are one of 4 built-in data types in Python used to store collections of 
data, the other 3 areTuple,Set, andDictionary, all with different qualities and usage.
Lists are created using square brackets:","thislist = [""apple"", ""banana"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""apple"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]print(len(thislist))",Python Intermedio
42,Python Lists,https://www.w3schools.com/python/python_lists.asp,"PythonLists
List
Lists are used to store multiple items in a single variable.
Lists are one of 4 built-in data types in Python used to store collections of 
data, the other 3 areTuple,Set, andDictionary, all with different qualities and usage.
Lists are created using square brackets:","thislist = [""apple"", ""banana"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""apple"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]print(len(thislist))",Python Intermedio
43,Access List Items,https://www.w3schools.com/python/python_lists_access.asp,"Python - Access List Items
Access Items
List items are indexed and you can access them by referring to the index number:
Example
Print the second item of the list:","thislist = [""apple"", ""banana"", ""cherry""]print(thislist[1])
---
thislist = [""apple"", ""banana"", ""cherry""]print(thislist[-1])
---
thislist = [""apple"", ""banana"", ""cherry"", ""orange"", 
  ""kiwi"", ""melon"", ""mango""]print(thislist[2:5])",Python Intermedio
44,Change List Items,https://www.w3schools.com/python/python_lists_change.asp,"Python -Change List Items
Change Item Value
To change the value of a specific item, 
refer to the index number:
Example
Change the second item:","thislist = [""apple"", ""banana"", ""cherry""]thislist[1] = ""blackcurrant""print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""orange"", ""kiwi"", ""mango""]thislist[1:3] = [""blackcurrant"", ""watermelon""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]thislist[1:2] = [""blackcurrant"", 
  ""watermelon""]print(thislist)",Python Intermedio
45,Add List Items,https://www.w3schools.com/python/python_lists_add.asp,"Python - Add List Items
Append Items
To add an item to the end of the list, use theappend()method:
Example
Using theappend()method to append an item:","thislist = [""apple"", ""banana"", ""cherry""]thislist.append(""orange"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]thislist.insert(1, ""orange"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]tropical = [""mango"", ""pineapple"", ""papaya""]thislist.extend(tropical)print(thislist)",Python Intermedio
46,Remove List Items,https://www.w3schools.com/python/python_lists_remove.asp,"Python - Remove List Items
Remove Specified Item
Theremove()method removes the specified item.
Example
Remove ""banana"":","thislist = [""apple"", ""banana"", ""cherry""]thislist.remove(""banana"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""banana"", ""kiwi""]thislist.remove(""banana"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]thislist.pop(1)print(thislist)",Python Intermedio
47,Loop Lists,https://www.w3schools.com/python/python_lists_loop.asp,"Python - Loop Lists
Loop Through a List
You can loop through the list items by using aforloop:
Example
Print all items in the list, one by one:","thislist = [""apple"", ""banana"", ""cherry""]for x in thislist:print(x)
---
thislist = [""apple"", ""banana"", ""cherry""]for i 
  in range(len(thislist)):print(thislist[i])
---
thislist = [""apple"", ""banana"", ""cherry""]i = 0while i < len(thislist):print(thislist[i])i = i + 1",Python Intermedio
48,List Comprehension,https://www.w3schools.com/python/python_lists_comprehension.asp,"Python - List Comprehension
List Comprehension
List comprehension offers a shorter syntax when you want to create a new list based on the values of an 
existing list.
Example:
Based on a list of fruits, you want a new list, containing only the fruits 
with the letter ""a"" in the name.","fruits = [""apple"", ""banana"", ""cherry"", ""kiwi"", ""mango""]newlist = []for x in fruits:if ""a"" in x:newlist.append(x)print(newlist)
---
fruits = [""apple"", ""banana"", ""cherry"", ""kiwi"", ""mango""]newlist = [x 
  for x in fruits if ""a"" in x]print(newlist)
---
newlist = [x for x in fruits if x != ""apple""]",Python Intermedio
49,Sort Lists,https://www.w3schools.com/python/python_lists_sort.asp,"Python -Sort Lists
Sort List Alphanumerically
List objects have asort()method that will sort the list alphanumerically, ascending, by default:
Example
Sort the list alphabetically:","thislist = [""orange"", ""mango"", ""kiwi"", 
  ""pineapple"", ""banana""]thislist.sort()print(thislist)
---
thislist = [100, 50, 65, 82, 23]thislist.sort()print(thislist)
---
thislist = [""orange"", ""mango"", ""kiwi"", 
  ""pineapple"", ""banana""]thislist.sort(reverse = True)print(thislist)",Python Intermedio
50,Copy Lists,https://www.w3schools.com/python/python_lists_copy.asp,"Python - Copy Lists
Copy a List
You cannot copy a list simply by typinglist2 = 
list1, because:list2will only be areferencetolist1, and changes made inlist1will automatically also be made inlist2.
Use the copy() method
You can use the built-in List methodcopy()to copy a list.","thislist = [""apple"", ""banana"", ""cherry""]mylist 
  = thislist.copy()print(mylist)
---
thislist = [""apple"", ""banana"", ""cherry""]mylist 
  = list(thislist)print(mylist)
---
thislist = [""apple"", ""banana"", ""cherry""]mylist = thislist[:]print(mylist)",Python Intermedio
51,Join Lists,https://www.w3schools.com/python/python_lists_join.asp,"Python -Join Lists
Join Two Lists
There are several ways to join, or concatenate, two or more lists in Python.
One of the easiest ways are by using the+operator.
Example","list1 = [""a"", ""b"", ""c""]list2 = [1, 2, 3]list3 = list1 + list2print(list3)
---
list1 = [""a"", ""b"" , ""c""]list2 = [1, 2, 3]for x in list2:list1.append(x)print(list1)
---
list1 = [""a"", ""b"" , ""c""]list2 = [1, 2, 3]list1.extend(list2)print(list1)",Python Avanzado
52,List Methods,https://www.w3schools.com/python/python_lists_methods.asp,"Python -List Methods
List Methods
Python has a set of built-in methods that you can use on lists.",,Python Avanzado
53,List Exercises,https://www.w3schools.com/python/python_lists_exercises.asp,"PythonList Exercises
Test Yourself With Exercises
Now you have learned a lot about lists, and how to use them in Python.
Are you ready for a test?
Test your Python List skills with exercises from all categories:",,Python Avanzado
54,Python Tuples,https://www.w3schools.com/python/python_tuples.asp,"PythonTuples
Tuple
Tuples are used to store multiple items in a single variable.
Tuple is one of 4 built-in data types in Python used to store collections of 
data, the other 3 areList,Set, andDictionary, all with different qualities and usage.
A tuple is a collection which is ordered andunchangeable.","thistuple = (""apple"", ""banana"", ""cherry"")print(thistuple)
---
thistuple = (""apple"", ""banana"", ""cherry"", ""apple"", ""cherry"")print(thistuple)
---
thistuple = (""apple"", ""banana"", ""cherry"")print(len(thistuple))",Python Avanzado
55,Python Tuples,https://www.w3schools.com/python/python_tuples.asp,"PythonTuples
Tuple
Tuples are used to store multiple items in a single variable.
Tuple is one of 4 built-in data types in Python used to store collections of 
data, the other 3 areList,Set, andDictionary, all with different qualities and usage.
A tuple is a collection which is ordered andunchangeable.","thistuple = (""apple"", ""banana"", ""cherry"")print(thistuple)
---
thistuple = (""apple"", ""banana"", ""cherry"", ""apple"", ""cherry"")print(thistuple)
---
thistuple = (""apple"", ""banana"", ""cherry"")print(len(thistuple))",Python Avanzado
56,Access Tuples,https://www.w3schools.com/python/python_tuples_access.asp,"Python -Access Tuple Items
Access Tuple Items
You can access tuple items by referring to the index number, inside square 
brackets:
Example
Print the second item in the tuple:","thistuple = (""apple"", ""banana"", ""cherry"")print(thistuple[1])
---
thistuple = (""apple"", ""banana"", ""cherry"")print(thistuple[-1])
---
thistuple = (""apple"", ""banana"", ""cherry"", ""orange"", ""kiwi"", ""melon"", ""mango"")print(thistuple[2:5])",Python Avanzado
57,Update Tuples,https://www.w3schools.com/python/python_tuples_update.asp,"Python -Update Tuples
Tuples are unchangeable, meaning that you cannot change, add, or remove items once the tuple is created.
But there are some workarounds.
Change Tuple Values
Once a tuple is created, you cannot change its values. Tuples areunchangeable, 
orimmutableas it also is called.","x = (""apple"", ""banana"", ""cherry"")y = list(x)y[1] = ""kiwi""x = 
  tuple(y)print(x)
---
thistuple = (""apple"", ""banana"", ""cherry"")y = list(thistuple)y.append(""orange"")thistuple = 
  tuple(y)
---
thistuple = (""apple"", ""banana"", ""cherry"")y = (""orange"",)thistuple += yprint(thistuple)",Python Avanzado
58,Unpack Tuples,https://www.w3schools.com/python/python_tuples_unpack.asp,"Python -Unpack Tuples
Unpacking a Tuple
When we create a tuple, we normally assign values to it. This is called ""packing"" a tuple:
Example
Packing a tuple:","fruits = (""apple"", ""banana"", ""cherry"")
---
fruits = (""apple"", ""banana"", ""cherry"")(green, yellow, red) = fruitsprint(green)print(yellow)print(red)
---
fruits = (""apple"", ""banana"", ""cherry"", ""strawberry"", ""raspberry"")(green, yellow, *red) = fruitsprint(green)print(yellow)print(red)",Python Avanzado
59,Loop Tuples,https://www.w3schools.com/python/python_tuples_loop.asp,"Python -Loop Tuples
Loop Through a Tuple
You can loop through the tuple items by using aforloop.
Example
Iterate through the items and print the values:","thistuple = (""apple"", ""banana"", ""cherry"")for x in thistuple:print(x)
---
thistuple = (""apple"", ""banana"", ""cherry"")for i in range(len(thistuple)):print(thistuple[i])
---
thistuple = (""apple"", ""banana"", ""cherry"")i = 0while i < len(thistuple):print(thistuple[i])i = i + 1",Python Avanzado
60,Join Tuples,https://www.w3schools.com/python/python_tuples_join.asp,"Python -Join Tuples
Join Two Tuples
To join two or more tuples you can use the+operator:
Example
Join two tuples:","tuple1 = (""a"", ""b"" , ""c"")tuple2 = (1, 2, 3)tuple3 = tuple1 + tuple2print(tuple3)
---
fruits = (""apple"", ""banana"", ""cherry"")mytuple = fruits * 2print(mytuple)",Python Avanzado
61,Tuple Methods,https://www.w3schools.com/python/python_tuples_methods.asp,"Python -Tuple Methods
Tuple Methods
Python has two built-in methods that you can use on tuples.",,Python Avanzado
62,Tuple Exercises,https://www.w3schools.com/python/python_tuples_exercises.asp,"Python -Tuple Exercises
Test Yourself With Exercises
Now you have learned a lot about tuples, and how to use them in Python.
Are you ready for a test?
Test your Python Tuple skills with exercises from all categories:",,Python Avanzado
63,Python Sets,https://www.w3schools.com/python/python_sets.asp,"PythonSets
Set
Sets are used to store multiple items in a single variable.
Set is one of 4 built-in data types in Python used to store collections of 
data, the other 3 areList,Tuple, andDictionary, all with different qualities and usage.
A set is a collection which isunordered,unchangeable*, andunindexed.","thisset = {""apple"", ""banana"", ""cherry""}print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry"", ""apple""}print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry"", True, 1, 2}print(thisset)",Python Avanzado
64,Python Sets,https://www.w3schools.com/python/python_sets.asp,"PythonSets
Set
Sets are used to store multiple items in a single variable.
Set is one of 4 built-in data types in Python used to store collections of 
data, the other 3 areList,Tuple, andDictionary, all with different qualities and usage.
A set is a collection which isunordered,unchangeable*, andunindexed.","thisset = {""apple"", ""banana"", ""cherry""}print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry"", ""apple""}print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry"", True, 1, 2}print(thisset)",Python Avanzado
65,Access Set Items,https://www.w3schools.com/python/python_sets_access.asp,"Python -Access Set Items
Access Items
You cannot access items in a set by referring to an index or a key.
But you can loop through the set items using aforloop, or ask if a specified value is present in a set, by using theinkeyword.
Example","thisset = {""apple"", ""banana"", ""cherry""}for x in thisset:print(x)
---
thisset = {""apple"", ""banana"", ""cherry""}print(""banana"" 
  in thisset)
---
thisset = {""apple"", ""banana"", ""cherry""}print(""banana"" 
  not in thisset)",Python Avanzado
66,Add Set Items,https://www.w3schools.com/python/python_sets_add.asp,"Python -Add Set Items
Add Items
Once a set is created, you cannot change its items, but you can add new items.
To add one item to a set use theadd()method.
Example","thisset = {""apple"", ""banana"", ""cherry""}thisset.add(""orange"")print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry""}tropical = {""pineapple"", ""mango"", ""papaya""}thisset.update(tropical)print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry""}mylist = [""kiwi"", ""orange""]thisset.update(mylist)print(thisset)",Python Avanzado
67,Remove Set Items,https://www.w3schools.com/python/python_sets_remove.asp,"Python -Remove Set Items
Remove Item
To remove an item in a set, use theremove(), or thediscard()method.
Example
Remove ""banana"" by using theremove()method:","thisset = {""apple"", ""banana"", ""cherry""}thisset.remove(""banana"")print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry""}thisset.discard(""banana"")print(thisset)
---
thisset = {""apple"", ""banana"", ""cherry""}x =
  thisset.pop()print(x)print(thisset)",Python Avanzado
68,Loop Sets,https://www.w3schools.com/python/python_sets_loop.asp,"Python -Loop Sets
Loop Items
You can loop through the set items by using aforloop:
Example
Loop through the set, and print the values:","thisset = {""apple"", ""banana"", ""cherry""}for x in thisset:print(x)",Python Avanzado
69,Join Sets,https://www.w3schools.com/python/python_sets_join.asp,"Python -Join Sets
Join Sets
There are several ways to join two or more sets in Python.
Theunion()andupdate()methods joins all items from both sets.
Theintersection()method keeps ONLY the duplicates.","set1 = {""a"", ""b"", ""c""}set2 = {1, 2, 3}set3 = set1.union(set2)print(set3)
---
set1 = {""a"", ""b"", ""c""}set2 = {1, 2, 3}set3 = set1 | set2print(set3)
---
set1 = {""a"", ""b"", ""c""}set2 = {1, 2, 3}set3 = {""John"", ""Elena""}set4 = {""apple"", 
  ""bananas"", ""cherry""}myset = set1.union(set2, set3, set4)print(myset)",Python Avanzado
70,Frozenset,https://www.w3schools.com/python/python_frozenset.asp,"Pythonfrozenset
Python frozenset
frozensetis an immutable version of a set.
Like sets, it contains unique, unordered, unchangeable elements.
Unlike sets, elements cannot be added or removed from a frozenset.","x = frozenset({""apple"", ""banana"", ""cherry""})print(x)print(type(x))",Python Avanzado
71,Set Methods,https://www.w3schools.com/python/python_sets_methods.asp,"Python -Set Methods
Set Methods
Python has a set of built-in methods that you can use on sets.",,Python Avanzado
