numero_leccion,titulo,url,descripcion,ejemplos_codigo,categoria
35,Comparison Operators,https://www.w3schools.com/python/python_operators_comparison.asp,"PythonComparison Operators
Comparison Operators
Comparison operators are used to compare two values:
Examples
Comparison operators returnTrueorFalsebased on the comparison:","x = 5y = 3print(x == y)print(x != y)print(x > y)print(x < y)print(x >= y)print(x <= y)
---
x = 5print(1 < x < 10)print(1 < x and x < 10)",Python Intermedio
36,Logical Operators,https://www.w3schools.com/python/python_operators_logical.asp,"PythonLogical Operators
Logical Operators
Logical operators are used to combine conditional statements:
Examples
Example","x = 5print(x > 0 and x < 10)
---
x = 5print(x < 5 or x > 10)
---
x = 5print(not(x > 3 and x < 10))",Python Intermedio
37,Identity Operators,https://www.w3schools.com/python/python_operators_identity.asp,"PythonIdentity Operators
Identity Operators
Identity operators are used to compare the objects, not if they are equal, but if they are actually the same object, with the same memory location:
Examples
Example","x = [""apple"", ""banana""]y = [""apple"", ""banana""]z = xprint(x is z)print(x is y)print(x == y)
---
x = [""apple"", ""banana""]y = [""apple"", ""banana""]print(x is not y)
---
x = [1, 2, 3]y = [1, 2, 3]print(x == y)print(x is y)",Python Intermedio
38,Membership Operators,https://www.w3schools.com/python/python_operators_membership.asp,"PythonMembership Operators
Membership Operators
Membership operators are used to test if a sequence is presented in an object:
Examples
Example","fruits = [""apple"", ""banana"", ""cherry""]print(""banana"" in fruits)
---
fruits = [""apple"", ""banana"", ""cherry""]print(""pineapple"" not in fruits)
---
text = ""Hello World""print(""H"" in text)print(""hello"" in text)print(""z"" not in text)",Python Intermedio
39,Bitwise Operators,https://www.w3schools.com/python/python_operators_bitwise.asp,"PythonBitwise Operators
Bitwise Operators
Bitwise operators are used to compare (binary) numbers:
Examples
Example","print(6 & 3)
---
print(6 | 3)
---
print(6 ^ 3)",Python Intermedio
40,Operator Precedence,https://www.w3schools.com/python/python_operators_precedence.asp,"PythonOperator Precedence
Operator Precedence
Operator precedence describes the order in which operations are performed.
Example
Parentheses has the highest precedence, meaning that expressions inside 
parentheses must be evaluated first:","print((6 + 3) - (6 + 3))
---
print(100 + 5 * 3)
---
print(5 + 4 - 7 + 3)",Python Intermedio
41,Python Lists,https://www.w3schools.com/python/python_lists.asp,"PythonLists
List
Lists are used to store multiple items in a single variable.
Lists are one of 4 built-in data types in Python used to store collections of 
data, the other 3 areTuple,Set, andDictionary, all with different qualities and usage.
Lists are created using square brackets:","thislist = [""apple"", ""banana"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""apple"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]print(len(thislist))",Python Intermedio
42,Python Lists,https://www.w3schools.com/python/python_lists.asp,"PythonLists
List
Lists are used to store multiple items in a single variable.
Lists are one of 4 built-in data types in Python used to store collections of 
data, the other 3 areTuple,Set, andDictionary, all with different qualities and usage.
Lists are created using square brackets:","thislist = [""apple"", ""banana"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""apple"", ""cherry""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]print(len(thislist))",Python Intermedio
43,Access List Items,https://www.w3schools.com/python/python_lists_access.asp,"Python - Access List Items
Access Items
List items are indexed and you can access them by referring to the index number:
Example
Print the second item of the list:","thislist = [""apple"", ""banana"", ""cherry""]print(thislist[1])
---
thislist = [""apple"", ""banana"", ""cherry""]print(thislist[-1])
---
thislist = [""apple"", ""banana"", ""cherry"", ""orange"", 
  ""kiwi"", ""melon"", ""mango""]print(thislist[2:5])",Python Intermedio
44,Change List Items,https://www.w3schools.com/python/python_lists_change.asp,"Python -Change List Items
Change Item Value
To change the value of a specific item, 
refer to the index number:
Example
Change the second item:","thislist = [""apple"", ""banana"", ""cherry""]thislist[1] = ""blackcurrant""print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""orange"", ""kiwi"", ""mango""]thislist[1:3] = [""blackcurrant"", ""watermelon""]print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]thislist[1:2] = [""blackcurrant"", 
  ""watermelon""]print(thislist)",Python Intermedio
45,Add List Items,https://www.w3schools.com/python/python_lists_add.asp,"Python - Add List Items
Append Items
To add an item to the end of the list, use theappend()method:
Example
Using theappend()method to append an item:","thislist = [""apple"", ""banana"", ""cherry""]thislist.append(""orange"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]thislist.insert(1, ""orange"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]tropical = [""mango"", ""pineapple"", ""papaya""]thislist.extend(tropical)print(thislist)",Python Intermedio
46,Remove List Items,https://www.w3schools.com/python/python_lists_remove.asp,"Python - Remove List Items
Remove Specified Item
Theremove()method removes the specified item.
Example
Remove ""banana"":","thislist = [""apple"", ""banana"", ""cherry""]thislist.remove(""banana"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry"", ""banana"", ""kiwi""]thislist.remove(""banana"")print(thislist)
---
thislist = [""apple"", ""banana"", ""cherry""]thislist.pop(1)print(thislist)",Python Intermedio
47,Loop Lists,https://www.w3schools.com/python/python_lists_loop.asp,"Python - Loop Lists
Loop Through a List
You can loop through the list items by using aforloop:
Example
Print all items in the list, one by one:","thislist = [""apple"", ""banana"", ""cherry""]for x in thislist:print(x)
---
thislist = [""apple"", ""banana"", ""cherry""]for i 
  in range(len(thislist)):print(thislist[i])
---
thislist = [""apple"", ""banana"", ""cherry""]i = 0while i < len(thislist):print(thislist[i])i = i + 1",Python Intermedio
48,List Comprehension,https://www.w3schools.com/python/python_lists_comprehension.asp,"Python - List Comprehension
List Comprehension
List comprehension offers a shorter syntax when you want to create a new list based on the values of an 
existing list.
Example:
Based on a list of fruits, you want a new list, containing only the fruits 
with the letter ""a"" in the name.","fruits = [""apple"", ""banana"", ""cherry"", ""kiwi"", ""mango""]newlist = []for x in fruits:if ""a"" in x:newlist.append(x)print(newlist)
---
fruits = [""apple"", ""banana"", ""cherry"", ""kiwi"", ""mango""]newlist = [x 
  for x in fruits if ""a"" in x]print(newlist)
---
newlist = [x for x in fruits if x != ""apple""]",Python Intermedio
49,Sort Lists,https://www.w3schools.com/python/python_lists_sort.asp,"Python -Sort Lists
Sort List Alphanumerically
List objects have asort()method that will sort the list alphanumerically, ascending, by default:
Example
Sort the list alphabetically:","thislist = [""orange"", ""mango"", ""kiwi"", 
  ""pineapple"", ""banana""]thislist.sort()print(thislist)
---
thislist = [100, 50, 65, 82, 23]thislist.sort()print(thislist)
---
thislist = [""orange"", ""mango"", ""kiwi"", 
  ""pineapple"", ""banana""]thislist.sort(reverse = True)print(thislist)",Python Intermedio
50,Copy Lists,https://www.w3schools.com/python/python_lists_copy.asp,"Python - Copy Lists
Copy a List
You cannot copy a list simply by typinglist2 = 
list1, because:list2will only be areferencetolist1, and changes made inlist1will automatically also be made inlist2.
Use the copy() method
You can use the built-in List methodcopy()to copy a list.","thislist = [""apple"", ""banana"", ""cherry""]mylist 
  = thislist.copy()print(mylist)
---
thislist = [""apple"", ""banana"", ""cherry""]mylist 
  = list(thislist)print(mylist)
---
thislist = [""apple"", ""banana"", ""cherry""]mylist = thislist[:]print(mylist)",Python Intermedio
